name,type,value,date
广东省,华南,63.33,2020年
河南省,华中,62.65,2020年
四川省,西南,53.65,2020年
江苏省,华东,49.24,2020年
山东省,华东,48.74,2020年
安徽省,华东,47.18,2020年
河北省,华北,37.49,2020年
湖南省,华中,35.75,2020年
云南省,西南,32.79,2020年
贵州省,西南,31.76,2020年
河南省,华中,76.45,2019年
广东省,华南,67.45,2019年
四川省,西南,61.32,2019年
江苏省,华东,56.94,2019年
安徽省,华东,54.16,2019年
山东省,华东,53.3,2019年
河北省,华北,42.13,2019年
湖北省,华中,38.93,2019年
湖南省,华中,38.03,2019年
贵州省,西南,36.24,2019年
河南省,华中,76.45,2018年
广东省,华南,67.45,2018年
四川省,西南,61.32,2018年
江苏省,华东,56.94,2018年
安徽省,华东,54.16,2018年
山东省,华东,53.3,2018年
河北省,华北,42.13,2018年
湖北省,华中,38.93,2018年
湖南省,华中,38.03,2018年
贵州省,西南,36.24,2018年
河南省,华中,76.45,2017年
广东省,华南,67.45,2017年
四川省,西南,61.32,2017年
江苏省,华东,56.94,2017年
安徽省,华东,54.16,2017年
山东省,华东,53.3,2017年
河北省,华北,42.13,2017年
湖北省,华中,38.93,2017年
湖南省,华中,38.03,2017年
贵州省,西南,36.24,2017年
河南省,华中,96.9,2016年
广东省,华南,78.61,2016年
四川省,西南,72.71,2016年
江苏省,华东,71.61,2016年
安徽省,华东,71.34,2016年
山东省,华东,67.07,2016年
河北省,华北,55.19,2016年
湖北省,华中,51.38,2016年
湖南省,华中,49.94,2016年
贵州省,西南,45.32,2016年
河南省,华中,109.44,2015年
广东省,华南,84.04,2015年
江苏省,华东,78.6,2015年
四川省,西南,74.15,2015年
安徽省,华东,73.91,2015年
山东省,华东,70.1,2015年
河北省,华北,60.94,2015年
湖北省,华中,57.3,2015年
湖南省,华中,54.27,2015年
贵州省,西南,49.26,2015年
